# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.002        0.000        0.559       55.844
       0.503       30.000       88.672      541.609
       1.005       99.700       94.012      541.609
       1.506       99.800       93.773      541.609
       2.006       99.900       93.770      541.609
       2.508       99.700       94.023      541.609
       3.008       99.900       93.984      541.609
       3.509       99.900       93.770      541.609
       4.010       99.800       93.914      541.609
       4.511       99.900       93.770      541.609
       5.011       99.900       93.770      541.609
       5.512       97.700       94.023      541.609
       6.013      101.800       93.770      541.609
       6.514       99.800       93.770      541.609
       7.015       20.000       93.332      510.121
       7.516        0.000       93.332      510.121
